smiles,pKi,Ki,protein_path
CC(C)(C(CC/C(/C)=C/COc1c(cco2)c2cc(O2)c1C=CC2=O)O)O,1.2291479883578558,59000.0,4wnv_meeko.pdb
NCc1ccc(-c2ccccc2)o1,1.2006594505464183,63000.0,4wnv_meeko.pdb
COc(c(N(CC1)C[C@H]1C1(CC1)N)ccc12)c2N([C@@H](C2)[C@@H]2F)C=C(C(O)=O)C1=O,1.1681302257194983,67900.0,4wnv_meeko.pdb
c1c(-c2cccnc2)nc[nH]1,1.154901959985743,70000.0,4wnv_meeko.pdb
Cc1nccn1-c1cccnc1,1.1191864077192086,76000.0,4wnv_meeko.pdb
Fc(ccc1c2cc[nH]1)c2-c1nc(N2CCOCC2)c2sc(CN(CC3)CC4N3CCOC4)cc2n1,1.1079053973095196,78000.0,4wnv_meeko.pdb
Cc(nc1)nn1-c(ccc(Nc1nc(NC)c(CCC2c(cc3)ccc3F)c2n1)c1)c1OC,1.080921907623926,83000.0,4wnv_meeko.pdb
C[C@@H](C(N[C@@H]([C@H](C)N(C(CS(C)(=O)=O)=O)c(cccc1)c1N1Cc(c2c3cccc2)nn3-c(cccc2)c2C#N)C1=O)=O)NC.Cl,1.0793549985932125,83300.0,4wnv_meeko.pdb
NCc1ccc(-c2ccccc2)s1,1.0199966284162536,95500.0,4wnv_meeko.pdb
O=C1N(CCc2c3[nH]c4c2cccc4)C3=Nc2c1cccc2,0.9677842967020184,107700.0,4wnv_meeko.pdb
CN(C)Cc1ccc(-c2cnccc2)s1,0.958607314841775,110000.0,4wnv_meeko.pdb
CN(CC1)[C@@H]([C@H](c(c2c3OC)ccc3OC)OC2=O)c2c1cc1OCOc1c2,0.958607314841775,110000.0,4wnv_meeko.pdb
Cn1cnc(-c2cccnc2)c1,0.8827287043442358,131000.0,4wnv_meeko.pdb
CN(C)Cc1ccc(-c2cnccc2)o1,0.832682665251824,147000.0,4wnv_meeko.pdb
CNCC#Cc1cccnc1,0.6003262785189618,251000.0,4wnv_meeko.pdb
CC(C)[C@H](C(N)=O)NC(O[C@H](CC[C@]1([C@H]2[C@@]3(C)O[C@@H]3CC=C(C)C)OC1)[C@H]2OC)=O,0.5421181032660076,287000.0,4wnv_meeko.pdb
CCOc1cccc(O2)c1C=CC2=O,0.3726341434072674,424000.0,4wnv_meeko.pdb
COc1cccc(O2)c1C=CC2=O,0.34843126113420814,448300.0,4wnv_meeko.pdb
OC(Cc(cccc1)c1Nc(c(Cl)ccc1)c1Cl)=O,-0.21484384804769785,1640000.0,4wnv_meeko.pdb
